Scholarship Name,Provider,Amount,Closing Date,Degree(s),Status,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption Life Foundation Scholarships,Assumption Life Foundation,"$10,000",4/29/2025,N/A,N/A,https://universitystudy.ca/scholarship/13292/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption Life Scholarship,Assumption Life Foundation,"$8,000",4/29/2025,"Graduate degree, Certificate, Phd",N/A,https://universitystudy.ca/scholarship/14938/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufricht Family Fund Student Award,Calgary Foundation,"$5,000",5/29/2025,"Pre university diploma, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12374/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Value Scholarship,Aftermarket Auto Parts Alliance,N/A,3/30/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14655/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autodesk Scholarship,SME Education Foundation,N/A,1/31/2026,"Associate degree, Bachelor",Opening soon,https://universitystudy.ca/scholarship/12375/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Database,Mount Royal University,N/A,N/A,"Applied bachelor, Apprenticeship program, Associate degree, Bachelor, Certificate, Dec bacc, Diploma, Masters, Medical doctorate, Phd, Postdoctoral fellowship, Pre university diploma, Professional degree, Technical diploma, Vocational technical",N/A,https://universitystudy.ca/scholarship/14120/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWS Graduate Research Fellowships,American Welding Society,"$35,000",4/14/2025,"Graduate degree, Phd",N/A,https://universitystudy.ca/scholarship/12376/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Horticultural Company Scholarship,American Floral Endowment,N/A,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/12377/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Anderson Blake ACE Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",Opening soon,https://universitystudy.ca/scholarship/14583/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baron Barclay National Youth Open Pairs Scholarship,American Contract Bridge League,"$1,000",6/14/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12378/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASF Canada Scholarship,BASF Canada,"$2,000",5/1/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13367/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates Wardle Award for Lifeguards,Calgary Foundation,$750,4/29/2025,N/A,N/A,https://universitystudy.ca/scholarship/12379/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer Crop Science Opportunity Scholarship,Bayer CropScience Inc.,"$1,500",5/15/2024,"Bachelor, Diploma",N/A,https://universitystudy.ca/scholarship/13481/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
